N,P,K,temperature,humidity,ph,rainfall,air quality,light intensity,date,yield,ideal_planting_time,next_season_crop
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,35,450,2021-01-01T00:00:00Z,39.93,Early April,Soybean
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,35,462,2021-01-08T04:42:11Z,39.93,Early June,Corn
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,34,463,2021-01-15T19:33:45Z,32.67,Early June,Corn
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,34,469,2021-01-22T22:38:09Z,39.93,Early June,Soybean
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,35,473,2021-01-29T14:15:03Z,39.93,Early June,Corn
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,34,465,2021-02-05T02:51:12Z,32.67,Early June,Soybean
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,36,474,2021-02-12T18:55:49Z,32.67,Early June,Corn
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,36,483,2021-02-19T01:54:32Z,39.93,Early June,Corn
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,38,471,2021-02-26T14:52:48Z,39.93,Early June,Soybean
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,38,463,2021-03-05T04:57:30Z,32.67,Early June,Corn
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,37,476,2021-03-12T21:01:42Z,39.93,Early June,Corn
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,38,492,2021-03-19T21:04:08Z,39.93,Early June,Corn
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,36,478,2021-03-26T12:03:35Z,39.93,Early June,Soybean
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,37,498,2021-04-02T11:19:03Z,32.67,Early June,Soybean
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,36,510,2021-04-09T23:57:56Z,39.93,Early June,Soybean
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,36,512,2021-04-16T14:28:20Z,32.67,Early June,Corn
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,35,494,2021-04-23T04:52:17Z,39.93,Early June,Soybean
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,33,472,2021-04-30T22:22:10Z,39.93,Early June,Corn
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,34,491,2021-05-07T17:26:51Z,39.93,Early June,Soybean
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,35,484,2021-05-14T13:53:41Z,39.93,Early June,Soybean
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,35,460,2021-05-21T03:56:53Z,32.67,Late April,Wheat
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,33,470,2021-05-28T14:46:26Z,39.93,Early June,Corn
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,33,483,2021-06-04T23:04:51Z,32.67,Early June,Corn
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,33,462,2021-06-11T01:53:53Z,39.93,Early June,Soybean
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,31,458,2021-06-18T06:20:42Z,39.93,Early June,Soybean
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,30,479,2021-06-25T03:56:33Z,32.67,Early June,Soybean
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,29,459,2021-07-02T18:29:59Z,39.93,Early June,Soybean
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,30,465,2021-07-09T01:27:19Z,39.93,Early June,Soybean
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,31,448,2021-07-16T14:48:28Z,32.67,Early June,Soybean
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,31,442,2021-07-23T14:59:00Z,32.67,Early June,Corn
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,30,439,2021-07-30T03:45:09Z,39.93,Early June,Corn
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,31,434,2021-08-06T16:13:53Z,39.93,Early June,Soybean
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,31,417,2021-08-13T12:46:05Z,39.93,Early June,Soybean
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,30,398,2021-08-20T23:23:34Z,39.93,Early June,Corn
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,30,403,2021-08-27T00:40:55Z,39.93,Early June,Soybean
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,31,386,2021-09-03T12:07:17Z,32.67,Early June,Corn
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,32,377,2021-09-10T21:44:00Z,39.93,Early June,Soybean
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,31,377,2021-09-17T21:52:38Z,39.93,Early June,Soybean
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,30,394,2021-09-24T21:43:04Z,32.67,Early June,Soybean
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,29,395,2021-10-01T02:34:31Z,32.67,Early June,Corn
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,28,397,2021-10-08T22:09:35Z,32.67,Late April,Wheat
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,28,387,2021-10-15T02:57:35Z,32.67,Early June,Corn
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,29,368,2021-10-22T16:46:04Z,39.93,Early June,Soybean
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,28,383,2021-10-29T21:43:33Z,39.93,Early June,Corn
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,27,396,2021-11-05T17:45:43Z,39.93,Early June,Soybean
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,28,405,2021-11-12T09:14:03Z,32.67,Early June,Soybean
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,27,410,2021-11-19T01:16:50Z,32.67,Early June,Corn
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,27,394,2021-11-26T10:59:27Z,39.93,Early June,Corn
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,27,387,2021-12-03T05:22:50Z,39.93,Early June,Soybean
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,28,382,2021-12-10T08:49:12Z,39.93,Early June,Soybean
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,29,369,2021-12-17T17:18:45Z,32.67,Early June,Soybean
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,30,374,2021-12-24T14:01:05Z,39.93,Early June,Soybean
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,31,390,2021-12-31T08:01:37Z,32.67,Early June,Soybean
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,32,384,2022-01-07T08:44:30Z,32.67,Early June,Soybean
